=== big_periods ===
test_name seed_costas.e seed_kociumaka.e seed_kociumaka_nlogn.e
bigperiod_500000_10_315000.in 1.7802879810333252 3.631054401397705 1.2299509048461914
bigperiod_500000_2_185000.in 2.360670566558838 3.418687105178833 1.1957345008850098
bigperiod_500000_10_110000.in 1.366563081741333 3.632772207260132 1.2221989631652832
bigperiod_500000_7_36666.in 1.2686622142791748 3.462059497833252 1.1944022178649902
bigperiod_500000_62_240000.in 1.3978350162506104 3.5335476398468018 1.294295310974121
bigperiod_500000_2_325000.in 2.597043514251709 3.919588565826416 1.2155704498291016
bigperiod_500000_7_323333.in 1.8779473304748535 3.47808837890625 1.2186651229858398
bigperiod_500000_10_95000.in 1.3126468658447266 3.706244945526123 1.242340326309204
bigperiod_500000_7_73333.in 1.3878350257873535 3.5093371868133545 1.2344892024993896
bigperiod_500000_26_75000.in 1.120757818222046 3.531118631362915 1.2292444705963135
bigperiod_500000_4_85000.in 1.613060712814331 3.555833339691162 1.2484912872314453
bigperiod_500000_26_435000.in 1.577726125717163 1.7550444602966309 1.226539134979248
bigperiod_500000_10_485000.in 1.8245289325714111 1.8441944122314453 1.211866855621338
bigperiod_500000_62_495000.in 1.5271685123443604 1.734616756439209 1.2586288452148438
